test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;
100;4.540;2.571;1.766;1.320;3.439;1.000;4.540;
200;9.482;5.340;1.776;2.810;3.374;2.080;4.559;
300;14.276;8.059;1.771;4.131;3.456;3.240;4.406;
400;19.881;11.332;1.754;5.937;3.349;4.772;4.166;
500;24.850;14.010;1.774;7.101;3.500;5.490;4.526;
600;29.752;16.858;1.765;8.552;3.479;6.836;4.352;
700;34.877;19.707;1.770;10.078;3.461;7.636;4.567;
800;40.181;22.912;1.754;12.020;3.343;9.435;4.259;
900;45.857;27.140;1.690;13.710;3.345;11.225;4.085;
1000;53.352;32.946;1.619;16.931;3.151;15.855;3.365;
